user_id,last_buy,frequency,monetary,recency,R_score,F_score,M_score,RFM_score,segment
1,2025-03-10 10:42:31,1,109.44,21,2,1,1,4,流失风险用户
2,2025-03-08 21:00:03,1,851.51,23,1,1,3,5,流失风险用户
3,2025-03-08 20:30:48,1,489.44,23,1,1,2,4,流失风险用户
8,2025-03-09 07:51:21,2,544.64,22,2,4,2,8,流失风险用户
13,2025-03-17 12:51:32,1,199.44,14,3,1,1,5,流失风险用户
15,2025-03-18 01:50:28,1,1029.34,13,3,1,4,8,潜力用户
23,2025-03-15 03:22:57,3,1050.34,16,2,5,4,11,流失风险用户
36,2025-03-27 11:19:18,1,775.77,4,5,1,3,9,潜力用户
39,2025-03-03 11:55:35,1,373.17,28,1,1,2,4,流失风险用户
40,2025-03-20 11:36:04,1,1110.01,11,3,1,4,8,潜力用户
45,2025-03-03 00:06:43,1,432.4,28,1,1,2,4,流失风险用户
47,2025-03-13 22:44:05,1,949.75,18,2,1,4,7,流失风险用户
54,2025-03-14 21:55:18,1,162.84,17,2,1,1,4,流失风险用户
55,2025-03-29 15:29:39,4,2414.5,2,5,5,5,15,高价值用户
62,2025-03-28 09:33:56,1,835.53,3,5,1,3,9,潜力用户
63,2025-03-26 11:41:10,1,72.0,5,4,1,1,6,流失风险用户
64,2025-03-29 01:56:38,14,7704.04,2,5,5,5,15,高价值用户
65,2025-03-23 07:52:03,1,909.85,8,4,1,4,9,潜力用户
66,2025-03-24 22:58:17,1,64.66,7,4,1,1,6,流失风险用户
73,2025-03-24 15:57:51,2,808.8,7,4,4,3,11,潜力用户
76,2025-03-20 00:05:10,1,253.29,11,3,1,1,5,流失风险用户
77,2025-03-08 16:06:49,1,131.99,23,1,1,1,3,流失风险用户
78,2025-03-04 16:27:19,1,628.58,27,1,1,3,5,流失风险用户
80,2025-03-12 04:46:23,1,886.96,19,2,1,4,7,流失风险用户
81,2025-03-28 20:47:45,2,1412.88,3,5,4,5,14,高价值用户
88,2025-03-26 11:55:55,1,837.86,5,4,1,3,8,潜力用户
100,2025-03-27 01:24:02,2,927.08,4,5,4,4,13,高价值用户
101,2025-03-13 09:42:04,1,1119.88,18,2,1,4,7,流失风险用户
102,2025-03-25 00:32:41,1,648.07,6,4,1,3,8,潜力用户
103,2025-03-24 03:23:36,3,1762.59,7,4,5,5,14,高价值用户
105,2025-03-13 20:20:00,1,561.45,18,2,1,2,5,流失风险用户
110,2025-03-08 08:52:06,1,882.95,23,1,1,4,6,流失风险用户
113,2025-03-21 13:51:34,1,348.13,10,3,1,2,6,流失风险用户
116,2025-03-24 06:47:38,1,890.17,7,4,1,4,9,潜力用户
129,2025-03-26 15:21:54,1,363.38,5,4,1,2,7,流失风险用户
130,2025-03-26 20:00:38,1,327.42,5,4,1,2,7,流失风险用户
134,2025-03-03 10:00:13,1,752.71,28,1,1,3,5,流失风险用户
135,2025-03-20 17:11:24,1,65.3,11,3,1,1,5,流失风险用户
137,2025-03-25 01:09:24,7,4430.71,6,4,5,5,14,高价值用户
139,2025-03-30 12:27:39,1,902.22,1,5,1,4,10,潜力用户
143,2025-03-11 11:31:02,1,1118.81,20,2,1,4,7,流失风险用户
149,2025-03-12 04:53:07,1,275.44,19,2,1,1,4,流失风险用户
151,2025-03-28 01:47:33,2,1218.33,3,5,4,4,13,高价值用户
152,2025-03-30 20:49:55,1,215.68,1,5,1,1,7,流失风险用户
154,2025-03-29 10:18:04,7,4129.3099999999995,2,5,5,5,15,高价值用户
156,2025-03-30 00:32:19,3,1091.86,1,5,5,4,14,高价值用户
159,2025-03-21 17:49:10,2,1389.24,10,3,4,5,12,潜力用户
162,2025-03-30 15:54:29,1,727.38,1,5,1,3,9,潜力用户
172,2025-03-06 15:04:55,1,92.85,25,1,1,1,3,流失风险用户
173,2025-03-17 21:57:28,1,932.5,14,3,1,4,8,潜力用户
181,2025-03-12 12:57:21,1,62.06,19,2,1,1,4,流失风险用户
188,2025-03-22 11:32:30,1,835.35,9,4,1,3,8,潜力用户
196,2025-03-26 08:42:56,3,1804.0,5,4,5,5,14,高价值用户
204,2025-03-07 17:34:10,1,864.64,24,1,1,4,6,流失风险用户
206,2025-03-04 00:15:07,1,529.81,27,1,1,2,4,流失风险用户
210,2025-03-13 05:27:46,2,1275.92,18,2,4,4,10,流失风险用户
218,2025-03-09 01:33:32,1,158.24,22,2,1,1,4,流失风险用户
230,2025-03-09 21:08:48,1,809.51,22,2,1,3,6,流失风险用户
231,2025-03-29 05:05:55,2,1566.81,2,5,4,5,14,高价值用户
233,2025-03-20 12:46:09,1,221.88,11,3,1,1,5,流失风险用户
234,2025-03-10 06:43:52,1,548.51,21,2,1,2,5,流失风险用户
235,2025-03-07 21:29:53,1,1069.15,24,1,1,4,6,流失风险用户
236,2025-03-18 19:34:00,6,3308.58,13,3,5,5,13,潜力用户
246,2025-03-01 23:00:40,1,819.17,30,1,1,3,5,流失风险用户
250,2025-03-17 20:40:42,2,564.13,14,3,4,2,9,潜力用户
251,2025-03-27 08:12:29,3,1675.71,4,5,5,5,15,高价值用户
253,2025-03-07 10:03:26,1,1112.67,24,1,1,4,6,流失风险用户
254,2025-03-29 12:11:48,1,623.97,2,5,1,3,9,潜力用户
263,2025-03-13 03:17:36,2,1313.89,18,2,4,4,10,流失风险用户
268,2025-03-17 15:15:41,1,65.72,14,3,1,1,5,流失风险用户
271,2025-03-03 19:50:32,1,49.95,28,1,1,1,3,流失风险用户
276,2025-03-14 06:09:40,2,1483.67,17,2,4,5,11,流失风险用户
286,2025-03-06 05:45:07,1,528.92,25,1,1,2,4,流失风险用户
288,2025-03-11 14:32:57,1,734.0,20,2,1,3,6,流失风险用户
